id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
311504,who put the rubber band on there,MOT,Mother,band,object,put on
326153,are you in a marching band,INV,Investigator,band,music group,be in
326190,oh a clown's in the band,MOT,Mother,band,music group,be in
326293,remember Child when did we see a band,MOT,Mother,band,music group,see
326309,didn't we see a marching band,MOT,Mother,band,music group,see
333931,here comes the rubber band,MOT,Mother,band,object,come
336667,okay here's the rubber band again,MOT,Mother,band,object,be
344104,he's been back and forth in New_York with his band so he calls every once in a while,MOT,Mother,band,NA,NA
360167,oh you wanna tape them up you want like a band aid you mean,INV,Investigator,band,NA,NA
360201,well if you hurt them then you can put a band aid on them what's he doing,INV,Investigator,band,NA,NA
361861,a band aid,INV,Investigator,band,NA,NA
361923,it's stretchy like a band aid what's the matter with Ana,INV,Investigator,band,NA,NA
507662,out there with a band and noise before nine let's see and you keep these in yer pocket,MOT,Mother,band,NA,NA
521769,xxx rubber band xxx,EXP,Investigator,band,object,NA
536262,it was the big horn in the firemen's band,TEA,Teacher,band,group of people,NA
536409,then he saw the leader of the band,TEA,Teacher,band,NA,NA
536553,he ran in front of the band,TEA,Teacher,band,NA,NA
536573,the leader came after him and the band ran after him,TEA,Teacher,band,NA,NA
536645,he stopped running but the band ran after harry,TEA,Teacher,band,NA,NA
536670,the band played xxx,TEA,Teacher,band,music group,NA
537342,they were going to hear the fireman's band the family knew that harry liked xxx very close to xxx xxx,TEA,Teacher,band,music group,hear
537465,the band will not play tonight the big horn player is all out_of breath,TEA,Teacher,band,music group,NA
543845,so they had a perfect band going,GRA,Grandmother,band,NA,NA
556408,I put I put a rubber band on mine,FCH,Child,band,object,put on
556564,I put a rubber band xxx,FCH,Child,band,object,put
556588,rubber band across my xxx I did like dis,MCH,Child,band,object,NA
556655,I put a rubber band like dis,FCH,Child,band,object,put
575256,something about a rock and roll band,EXP,Investigator,band,music group,NA
575304,she said da chimpanzee and a rock and roll band,BRO,Brother,band,music group,say
575336,oh a chimpanzee and a rock and roll band,EXP,Investigator,band,music group,NA
592678,I know and you also can't hear the band music because you're up so high,MOT,Mother,band,music group,hear
596251,that's what they say in the african band,BRO,Brother,band,NA,NA
598613,band,SIS,Sister,band,NA,NA
601029,a wrist band,EXP,Investigator,band,object,NA
601062,a wrist band,EXP,Investigator,band,object,NA
644525,a wrist band,EXP,Investigator,band,object,NA
652280,the rubber band went flying,MOT,Mother,band,object,NA
673034,xxx a rubber band alright,FAD,Adult,band,object,NA
674715,oh yes okay I'll give you a band aid later,FAD,Adult,band,NA,NA
688659,hey Zoe if you play with my rubber bands any more I'll kill you,BRO,Brother,band,object,play with
727092,put that put that rubber band give it to me,MCH,Child,band,object,put
728718,you want a rubber band or something maybe,MOT,Mother,band,object,want
738080,and den wid a rubber band touching dat and da model it would spin da wheels together,FAT,Father,band,object,NA
744216,when we put the rubber bands around it then we'll put your name on it so we'll know which one belongs to who,TEA,Teacher,band,object,put around
760992,and den dis rubber band over here from dere to da bottom,FAT,Father,band,object,NA
761127,and den dis will go right on top of dat da rubber band will go on top of dat on top over here xxx and turn da wheel will turn at da same time,FAT,Father,band,object,go on
824493,that's really a rubber band,MOT,Mother,band,object,be
826706,band the other big one,NON,Grandfather,band,NA,NA
826881,you're taking the rubber band off the ponytail,MOT,Mother,band,object,take
829498,make a rubber band,MOT,Mother,band,object,make
829527,band,MOT,Mother,band,object,NA
842813,band,MOT,Mother,band,object,NA
842951,two rubber bands,MOT,Mother,band,object,NA
842973,what can we do with the rubber bands,MOT,Mother,band,object,do with
843238,a rubber band,MOT,Mother,band,object,NA
843490,did you pull your rubber bands off,MOT,Mother,band,object,pull off
851083,where's the rubber band,MOT,Mother,band,object,be
851227,here's the rubber band,MOT,Mother,band,object,be
889242,shall we have our own little band,MOT,Mother,band,music group,have
926114,you wanna play in a band,MOT,Mother,band,music group,play in
926131,where's your band hat,MOT,Mother,band,NA,NA
926280,are you going to be in a band,MOT,Mother,band,NA,NA
927028,a bigger band,FAT,Father,band,NA,NA
941099,and we'll see a band,MOT,Mother,band,NA,NA
941289,are you a band,MOT,Mother,band,NA,NA
961174,thanks what a nice little rubber band,FAT,Father,band,object,NA
962320,a rubber band,MOT,Mother,band,object,NA
963771,did the rubber band backfire,FAT,Father,band,object,NA
1054803,a red marching band,MOT,Mother,band,music group,NA
1068125,it was a lovely coral pink color with sparkly stars and tiny bluebells painted on it and bands of squiggly white icing going up and down,MOT,Mother,band,object,NA
1093009,they had a uh they had the live band upstairs and the disc jockey downstairs,UNC,Relative,band,music group,have
1103823,she was smart she gave to the guys in the band huh,MOT,Mother,band,NA,NA
1396004,band,MOT,Mother,band,NA,NA
1447893,remember they put the rubber bands on their claws so they can't chop each other,MOT,Mother,band,object,put on
1465748,nope they would pinch but they keep the rubber bands on them at the store right,MOT,Mother,band,object,keep on
1468662,okay let's get you a band aid,INV,Investigator,band,NA,NA
1558603,no that's a_lot_of junk in there we don't wanna mess it all over all over the carpet it's not a rubber band,MOT,Mother,band,object,be
1581912,it's a rubber band,LOI,Investigator,band,object,be
1630345,we could play with the band aid box the band aid box is right over here,FAT,Father,band,NA,NA
1681037,we'd put different colored rubber bands down a long ponytail,MOT,Mother,band,object,put
1684330,does the baby still have his band aid,MOT,Mother,band,NA,NA
1729526,are you in a parade or in a band,MOT,Mother,band,music group,be in
1734603,well leave the box there and pick the rubber bands up,MOT,Mother,band,object,pick up
1737218,what does the rubber band do,MOT,Mother,band,object,do
1737649,you're going to hafta pick all those rubber bands up and put them back,MOT,Mother,band,object,pick up
1743363,no go get your rubber band,MOT,Mother,band,object,get
1743630,it's a band,URS,Investigator,band,object,be
1743662,a band,URS,Investigator,band,object,NA
1744677,it doesn't have a band,MOT,Mother,band,NA,NA
1748792,that's band around his head,MOT,Mother,band,object,be
1752822,well don't hold the rubber band,MOT,Mother,band,object,hold
1753020,you aren't holding the rubber band are you,MOT,Mother,band,object,hold
1753104,see how the band is being twisted,MOT,Mother,band,NA,NA
1754339,that's a strong rubber band,URS,Investigator,band,object,be
1769892,more rubber bands there,MOT,Mother,band,object,NA
1770562,that's a rubber band,MOT,Mother,band,object,be
1770705,like band and bandaid,MOT,Mother,band,object,NA
1770721,band box,MOT,Mother,band,NA,NA
1770803,well pick the rubber bands up and put them in the bag,MOT,Mother,band,object,pick up
1770920,no you can't play the game if you don't play the rubber bands back,MOT,Mother,band,object,NA
1777951,to make tires and balloons and rubber bands,URS,Investigator,band,object,make
1779413,that was a rubber band that broke wasn't it,MOT,Mother,band,object,NA
1782140,that's where you put the rubber band,MOT,Mother,band,object,put
1798390,no rubber bands on it,MOT,Mother,band,object,NA
1798401,no rubber bands,MOT,Mother,band,object,NA
1798408,rubber bands,MOT,Mother,band,object,NA
1798438,no not bandaids rubber bands,MOT,Mother,band,object,NA
1798450,it has two rubber bands,MOT,Mother,band,object,have
1798477,it has two rubber bands,MOT,Mother,band,object,have
1852686,ya got all kinds of band aids on him and and,MOT,Mother,band,NA,NA
1855664,a watch band,MOT,Mother,band,object,NA
1943641,a band,FAT,Father,band,NA,NA
2070123,this looks like the um the trombone the in the finger band,FAT,Father,band,NA,NA
2070188,the big band,FAT,Father,band,NA,NA
2072682,band hats,FAT,Father,band,NA,NA
2072744,band,FAT,Father,band,NA,NA
2178870,are you in the band,MOT,Mother,band,NA,NA
2241451,an arc or circle that exhibits in concentric bands the colors of the spectrum that is formed opposite the sun,MOT,Mother,band,NA,NA
2255000,here you need a rubber band right here,MOT,Mother,band,object,need
2255015,don't put no rubber band,MOT,Mother,band,object,put
2486385,look it's a band aid,JES,Investigator,band,NA,NA
2486854,you put a band aid on him right,JES,Investigator,band,NA,NA
2507516,you're putting in my head band,MOT,Mother,band,object,put in
2507544,now you scrubbed my head band up so is my hair super messy,MOT,Mother,band,object,scrub up
2511147,oh my gosh what'd you do to that band aid,MOT,Mother,band,NA,NA
2521848,I dunno you guys were doing like a marching band for a little while right,MOT,Mother,band,music group,do
2521888,a music band,MOT,Mother,band,music group,NA
2521916,after we stopped then you did a music band,MOT,Mother,band,music group,do
2522062,I see so you had a music band and you were using that,MOT,Mother,band,music group,have
2522461,you got some new band aids today,MOT,Mother,band,NA,NA
2532697,tissues yeah because we out by the tide pools and we didn't have there's no we didn't have any band aids right,MOT,Mother,band,NA,NA
2555570,yeah we set the remember we said we ran out of band aids we gotta get some on the way home,MOT,Mother,band,NA,NA
2555659,yeah it doesn't look good we needta put some like kind of ah medicine stuff on it and then we needta needta also you know um put a band aid on it,MOT,Mother,band,NA,NA
2641774,can you band them together and see what they sound like,MOT,Mother,band,NA,NA
2669087,got a band aid,MOT,Mother,band,NA,NA
2670734,what's that face xxx she's got a bright band aid on,MOT,Mother,band,NA,NA
2670749,you see her band aid yeah,MOT,Mother,band,NA,NA
2673472,you can be in a band,MOT,Mother,band,music group,be in
2690073,the baby has a band aid huh,MOT,Mother,band,NA,NA
2690955,oh you're trying to get the band aid off,MOT,Mother,band,NA,NA
2690968,you should leave the band aid on cause her foot hurts,MOT,Mother,band,NA,NA
2785645,little band aid,MOT,Mother,band,NA,NA
2793568,uh marching band hat and,MOT,Mother,band,music group,NA
2793598,but he uses it mostly for marching band,MOT,Mother,band,music group,NA
2866620,the band is playing and the animals are doing their acts,FAT,Father,band,music group,NA
7858935,I had the elastic band on my wrist didn't I,MOT,Mother,band,object,have
7870510,it's um a band,MOT,Mother,band,object,be
7870554,you want me to take the band off,MOT,Mother,band,object,take off
7878226,you want the band out too,MOT,Mother,band,NA,NA
7910923,he might be able to repair it with an elastic band mightn't he,MOT,Mother,band,object,repair with
7939112,your swimming band,MOT,Mother,band,object,NA
7939158,your swimming band,MOT,Mother,band,object,NA
7957837,are those your er swimming bands again,MOT,Mother,band,object,be
7973139,should get an elastic band for them shouldn't we really,MOT,Mother,band,object,get
7975380,where's that elastic band,MOT,Mother,band,object,be
7978627,shall we put the elastic band back on it,MOT,Mother,band,object,put on
8034351,they're a band,MOT,Mother,band,music group,be
8115771,and what's Daniel's band called again,MOT,Mother,band,music group,NA
8115810,what's his band called,MOT,Mother,band,music group,NA
8115890,in the band,MOT,Mother,band,music group,NA
8117715,it's Daniel's band isn't it,MOT,Mother,band,music group,be
8117728,Daniel's in a band,MOT,Mother,band,music group,be in
8155634,there's an elastic band holding the plait together,MOT,Mother,band,object,be
8162572,because he sings in Daniel's band doesn't he,MOT,Mother,band,music group,sing in
8177737,going to see a band play,MOT,Mother,band,music group,see
8199036,when mummie went to see this band that man there took all his clothes off,MOT,Mother,band,music group,see
8206989,she's got a new band on,INV,Investigator,band,NA,NA
8275763,oh it's got a very strong elastic band,MOT,Mother,band,object,be
8276692,three elastic bands on it,MOT,Mother,band,object,NA
8293707,it's called an elastic band,MOT,Mother,band,object,called
8361047,shall we have a little band,MOT,Mother,band,NA,NA
8369712,there's so much for me to get that band back in her hair again,MOT,Mother,band,object,get in
8372247,we'll have a band,MOT,Mother,band,NA,NA
8372270,not want a band,MOT,Mother,band,NA,NA
8476366,well you kept doing something with arm bands,FAT,Father,band,object,do with
8501175,it just has the fine band running around the end,MOT,Mother,band,object,have
8582247,and do you remember xxx playing with that box that had rubber bands in it,MOT,Mother,band,object,have
8582260,you didn't play with the bands because you couldn't open the box,MOT,Mother,band,object,play with
8582361,every time Mummy goes to work and sees that box of rubber bands I think of my little boy,MOT,Mother,band,object,NA
8605834,that's rough and they've got a band of smooth,MOT,Mother,band,NA,NA
8609578,that's a rubber band,MOT,Mother,band,object,be
8610860,oh that's a rubber band,MOT,Mother,band,object,be
8628969,a rubber band,MOT,Mother,band,object,NA
8629225,we use those rubber bands don't we,MOT,Mother,band,object,use
8640479,your swimming bands,MOT,Mother,band,object,NA
8641732,and we got some arm bands for you didn't we,MOT,Mother,band,object,get
8643395,it's your arm band isn't it,MOT,Mother,band,object,be
8649075,that's the piece of broken rubber band isn't it,MOT,Mother,band,object,be
8649348,you picked the rubber band up and pulled it and it twanged,MOT,Mother,band,object,pick up
8750933,with a black band isn't it,MOT,Mother,band,object,NA
8759932,Santa's band,MOT,Mother,band,music group,NA
8763988,they march in a band all together,MOT,Mother,band,music group,march in
8827130,like in the swimming baths you wear a big rubber ring and you have arm bands on,MOT,Mother,band,object,have on
8840013,it's your what band,MOT,Mother,band,NA,NA
8840060,oh a horse band,MOT,Mother,band,object,NA
8840800,now you like band music don't you,MOT,Mother,band,music group,NA
8840816,we had the radio on the other day and a band started playing and you said I like bands,MOT,Mother,band,music group,NA
8841018,and we saw that band didn't we,MOT,Mother,band,music group,see
8841078,and then the band played didn't it,MOT,Mother,band,music group,NA
8841682,another band coming,MOT,Mother,band,music group,NA
8841748,and the band followed didn't they,MOT,Mother,band,music group,NA
8851742,it's the band clapping,MOT,Mother,band,music group,NA
8860979,oh and a rubber band,MOT,Mother,band,object,NA
8871096,I don't really want a rubber band on my hair,MOT,Mother,band,object,want
8871375,don't go near Purdie with that rubber band Thomas,MOT,Mother,band,object,go with
8895863,when we've used flea bands which we don't tend to use now,MOT,Mother,band,NA,NA
8909716,this is more like a hair band isn't it,INV,Investigator,band,object,be
8954627,do you like my head band,INV,Investigator,band,object,like
8957128,you've just improvised there with the weights from the weighing scales and a spoon and you had made your own little band hadn't you,MOT,Mother,band,object,make
8962433,you want the rubber band,MOT,Mother,band,object,want
8962465,it's a big rubber band,MOT,Mother,band,object,be
8974162,but also when rubber bands snap it might fling back,MOT,Mother,band,object,NA
8974574,are you talking to the rubber band,MOT,Mother,band,object,talk to
8974599,oh well that's perhaps why it didn't answer Thomas because it's a rubber band,MOT,Mother,band,object,be
8978396,open the band,MOT,Mother,band,object,open
8978409,take the band off,MOT,Mother,band,object,take off
8978444,the band,MOT,Mother,band,object,NA
8978454,the rubber band I mean,MOT,Mother,band,object,NA
8978475,well if you pull the rubber band off then the things won't flap,MOT,Mother,band,object,pull off
8978494,it won't work and I haven't got a rubber band small enough to replace it,MOT,Mother,band,object,have
8998352,rubber shoes rubber bands,MOT,Mother,band,object,NA
9009901,really bit like big elastic bands,MOT,Mother,band,object,NA
9037549,and do you hafta wear your rubber ring or your arm bands,MOT,Mother,band,object,wear
9038103,it's a little bit like an elastic band isn't it,MOT,Mother,band,object,be
9053626,right now those were put in with it because these actually belong to Santa's marching band,MOT,Mother,band,music group,belong to
9053640,you know the little band we have,MOT,Mother,band,NA,NA
9062359,do you remember I said the things from Santa's marching band that I wanted to keep,MOT,Mother,band,music group,NA
9105644,who gave you the hair band,FAT,Father,band,object,give
9106380,who's got your hair band,FAT,Father,band,object,have
9123220,fight the battle of the bands,MOT,Mother,band,music group,NA
9138231,no darling you can't have ice+cream when the band comes and when you hear the music then we can get some ice+cream okay,MOT,Mother,band,music group,NA
9163377,put your arm bands on when you go swimming,FAT,Father,band,object,put on
9274899,band,MOT,Mother,band,NA,NA
9293409,Eleanor could you pass me that elastic band please,MOT,Mother,band,object,pass
9326882,we'll get elastic band,MOT,Mother,band,object,get
9327056,I needta find elastic band,MOT,Mother,band,object,find
9327348,where's the elastic band,MOT,Mother,band,object,be
9327897,I can't find an elastic band,MOT,Mother,band,object,find
9327980,then we'll find an elastic band later,MOT,Mother,band,object,find
9366045,rubber band,MOT,Mother,band,object,NA
9366082,where's the rubber band,MOT,Mother,band,object,be
9367171,that's the rubber band isn't it,MOT,Mother,band,object,be
9436603,that's an elastic band,MOT,Mother,band,object,be
9442690,Lenny had always wanted to form a band,MOT,Mother,band,music group,form
9443663,you forming your own band,MOT,Mother,band,music group,form
9460316,whose rubber band,MOT,Mother,band,object,NA
9460401,there's another rubber band,MOT,Mother,band,object,be
9487984,look at that band,MOT,Mother,band,music group,look at
9488428,is Daddy gonna conduct the band now do you think,MOT,Mother,band,music group,conduct
9531299,can I color the band of his hat in,INV,Investigator,band,object,color
9629665,and he's got bands has he,MOT,Mother,band,object,have
9629712,those bands are the ones that are keeping the treehouse together,MOT,Mother,band,object,NA
9800964,because he was going to get a big elastic band wasn't he and put it on,MOT,Mother,band,object,get
9844106,you tell me how the band goes,MOT,Mother,band,music group,go
9844111,xxx play the band xxx,MOT,Mother,band,music group,play
9844484,get me elastic band then,JUL,Child,band,object,get
9855578,elastic band,MOT,Mother,band,object,NA
9855634,elastic band,MOT,Mother,band,object,NA
9966114,here's the circus band,MOT,Mother,band,music group,be
9975026,and we also put it through the lackey band,DAD,Father,band,object,put through
10002552,let me get an elastic band,MOT,Mother,band,object,get
10002581,just getting an elastic band for this,MOT,Mother,band,object,get
10020683,think we need an elastic band round these,MOT,Mother,band,object,need
10070292,we have a band and all organized so we have,MOT,Mother,band,NA,NA
10083756,and sort_of I put a lastic band round the flowers and tied the bow on and stuck it up,MOT,Mother,band,object,put around
10083980,and I've had the wee bands like you have,INV,Investigator,band,object,have
10084583,we haven't got any elastic bands,MOT,Mother,band,object,have
10108941,bands,INV,Investigator,band,music group,NA
10108945,oh what sort of bands,INV,Investigator,band,music group,NA
10108976,where did you go to see the big bands,INV,Investigator,band,music group,see
10135313,she was she swam didn't she with her wee arm bands on her,MOT,Mother,band,object,swim with
10146760,do you wear a band everyday in your hair,INV,Investigator,band,object,wear
10146812,you keep your band on your hair,INV,Investigator,band,object,keep on
10147355,because they usually like to jump on the band wagon up here,MOT,Mother,band,NA,NA
10156009,do you put your arm bands on,MOT,Mother,band,object,put on
16785930,okay he's on his way to band practice so you have to talk quick,MOT,Mother,band,NA,NA
16822007,okay this one says the underwater big band,MOT,Mother,band,NA,NA
16837048,rubber band that's right,MOT,Mother,band,object,NA
16837516,that's a rubber band,MOT,Mother,band,object,be
16842806,here comes the band,MOT,Mother,band,NA,NA
16896658,you playin with your lil rubber band,MOT,Mother,band,object,play with
16904383,it's like a rubber band,MOT,Mother,band,object,be
16907698,and there's his band,MOT,Mother,band,object,be
16916057,drag and draw tug and tow whoops it snapped back that's the problem with rubber bands they might snap back,MOT,Mother,band,object,NA
16920479,and the rubber band necklace that Mrs Parsley wore to a meeting of the rubber band society,MOT,Mother,band,object,wear
16920500,Roberta Rothchild is the president of the rubber band society,MOT,Mother,band,object,NA
16920854,want mom's rubber band,MOT,Mother,band,object,want
16920984,it's a rubber band,MOT,Mother,band,object,be
16921024,rubber band,MOT,Mother,band,object,NA
16923621,the rubber band trick again,MOT,Mother,band,object,NA
16923691,snap back rubber bands do that you know,MOT,Mother,band,object,snap back
16923693,rubber bands,MOT,Mother,band,object,NA
16947997,no wonder cried Judy you haven't even bothered to blow up your paw bands,MOT,Mother,band,object,blow up
16948043,after his paw bands had been properly blown up Paddington went in the water again,MOT,Mother,band,object,NA
16952435,they're having all these different bands like they're having two days of wakes xxx brunch at the church their having the actual funeral but and your parents are sending flowers so she's like oh don't even worry about it,MOT,Mother,band,music group,have
17002696,xxx rubber band is a little sticky,MOT,Mother,band,object,NA
17018850,let me see if I can put antenna in this hair band,MOT,Mother,band,object,put in
17074055,yes she has a head band,MOT,Mother,band,object,have
17074087,you could wear a head band if you wanned too,MOT,Mother,band,object,wear
17119438,there were bands and floats lining up in front of the school,MOT,Mother,band,object,be
17120670,there were bands and floats lining up in front of the school,MOT,Mother,band,object,be
17125295,I wanna color the band of her hat,MOT,Mother,band,object,color
17147153,xxx we're going to be in a band,TOY,Media,band,music group,be in
